top_module,report,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp
W3A4_lsb_depth1,area-ablation\out\vivado_resource\W3A4_lsb_depth1_utilization_synth.rpt,1,1,0,0,0
W3A4_lsb_depth2,area-ablation\out\vivado_resource\W3A4_lsb_depth2_utilization_synth.rpt,1,1,0,0,0
W3A4_lsb_depth3,area-ablation\out\vivado_resource\W3A4_lsb_depth3_utilization_synth.rpt,2,2,0,0,0
W3A4_lsb_depth4,area-ablation\out\vivado_resource\W3A4_lsb_depth4_utilization_synth.rpt,2,2,0,0,0
W3A4_lsb_depth5,area-ablation\out\vivado_resource\W3A4_lsb_depth5_utilization_synth.rpt,3,3,0,0,0
W3A4_lsb_depth6,area-ablation\out\vivado_resource\W3A4_lsb_depth6_utilization_synth.rpt,3,3,0,0,0
W3A4_stage_s0_original,area-ablation\out\vivado_resource\W3A4_stage_s0_original_utilization_synth.rpt,137,112,25,55,1
W3A4_stage_s1_weight_offline,area-ablation\out\vivado_resource\W3A4_stage_s1_weight_offline_utilization_synth.rpt,126,101,25,55,1
W3A4_stage_s2_registered_c,area-ablation\out\vivado_resource\W3A4_stage_s2_registered_c_utilization_synth.rpt,114,105,9,87,1
W3A4_stage_s3_xor_sign,area-ablation\out\vivado_resource\W3A4_stage_s3_xor_sign_utilization_synth.rpt,97,88,9,87,1
W3A5_lsb_depth1,area-ablation\out\vivado_resource\W3A5_lsb_depth1_utilization_synth.rpt,1,1,0,0,0
W3A5_lsb_depth2,area-ablation\out\vivado_resource\W3A5_lsb_depth2_utilization_synth.rpt,1,1,0,0,0
W3A5_lsb_depth3,area-ablation\out\vivado_resource\W3A5_lsb_depth3_utilization_synth.rpt,2,2,0,0,0
W3A5_lsb_depth4,area-ablation\out\vivado_resource\W3A5_lsb_depth4_utilization_synth.rpt,3,3,0,0,0
W3A5_lsb_depth5,area-ablation\out\vivado_resource\W3A5_lsb_depth5_utilization_synth.rpt,4,4,0,0,0
W3A5_lsb_depth6,area-ablation\out\vivado_resource\W3A5_lsb_depth6_utilization_synth.rpt,5,5,0,0,0
W3A5_stage_s0_original,area-ablation\out\vivado_resource\W3A5_stage_s0_original_utilization_synth.rpt,131,109,22,49,1
W3A5_stage_s1_weight_offline,area-ablation\out\vivado_resource\W3A5_stage_s1_weight_offline_utilization_synth.rpt,124,102,22,49,1
W3A5_stage_s2_registered_c,area-ablation\out\vivado_resource\W3A5_stage_s2_registered_c_utilization_synth.rpt,107,100,7,79,1
