group,variant,short_name,plot_label,prefill_t,decode_t,ep_lanes,slot_width,offsets,outputs,error_count,ep,mae,mse,max_abs_err
0,V0,NormalSigned,Normal Signed Packing,4,2,2,8,0 8,4000,0,0.0,0.0,0.0,0
1,V0,NormalSigned,Normal Signed Packing,4,2,2,8,0 8,4000,0,0.0,0.0,0.0,0
2,V0,NormalSigned,Normal Signed Packing,4,2,2,8,0 8,4000,0,0.0,0.0,0.0,0
3,V0,NormalSigned,Normal Signed Packing,4,2,2,8,0 8,4000,0,0.0,0.0,0.0,0
0,V1,SignMagnitude,+ Sign-Magnitude,6,5,6,6,0 6 12 18 24 30,12000,0,0.0,0.0,0.0,0
1,V1,SignMagnitude,+ Sign-Magnitude,6,5,6,6,0 6 12 18 24 30,12000,0,0.0,0.0,0.0,0
2,V1,SignMagnitude,+ Sign-Magnitude,6,5,6,6,0 6 12 18 24 30,12000,0,0.0,0.0,0.0,0
3,V1,SignMagnitude,+ Sign-Magnitude,6,5,6,6,0 6 12 18 24 30,12000,0,0.0,0.0,0.0,0
0,V2,OverlapNoCorr,+ Overlap,8,6,8,6,0 6 9 12 15 18 21 27,16000,10281,0.6425625,13.639875,453.449375,62
1,V2,OverlapNoCorr,+ Overlap,8,6,8,6,0 6 9 12 15 18 21 27,16000,10201,0.6375625,13.50425,450.09225,62
2,V2,OverlapNoCorr,+ Overlap,8,6,8,6,0 6 9 12 15 18 21 27,16000,10174,0.635875,13.68425,461.481375,62
3,V2,OverlapNoCorr,+ Overlap,8,6,8,6,0 6 9 12 15 18 21 27,16000,10250,0.640625,13.805625,465.069875,61
0,V3,FullCorrection,+ Full Correction,8,6,8,6,0 6 9 12 15 18 21 27,16000,0,0.0,0.0,0.0,0
1,V3,FullCorrection,+ Full Correction,8,6,8,6,0 6 9 12 15 18 21 27,16000,0,0.0,0.0,0.0,0
2,V3,FullCorrection,+ Full Correction,8,6,8,6,0 6 9 12 15 18 21 27,16000,0,0.0,0.0,0.0,0
3,V3,FullCorrection,+ Full Correction,8,6,8,6,0 6 9 12 15 18 21 27,16000,0,0.0,0.0,0.0,0
0,V4,FullUltraDSP,+ ILP Layout,9,7,9,6,0 4 8 11 15 19 23 27 31,18000,0,0.0,0.0,0.0,0
1,V4,FullUltraDSP,+ ILP Layout,9,7,9,6,0 4 8 11 15 19 23 27 31,18000,0,0.0,0.0,0.0,0
2,V4,FullUltraDSP,+ ILP Layout,9,7,9,6,0 4 8 11 15 19 23 27 31,18000,0,0.0,0.0,0.0,0
3,V4,FullUltraDSP,+ ILP Layout,9,7,9,6,0 4 8 11 15 19 23 27 31,18000,0,0.0,0.0,0.0,0
