top_module,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp,report
W4A4_PD_End,75,68,7,67,1,results\vivado_signmag_first\W4A4_PD_End_utilization_synth.rpt
w4a4_sf_v0_normal_signed_p2d2_single_dsp,11,11,0,0,1,results\vivado_signmag_first\w4a4_sf_v0_normal_signed_p2d2_single_dsp_utilization_synth.rpt
W4A4_sf_v0_normal_signed_p4d2,47,43,4,53,1,results\vivado_signmag_first\W4A4_sf_v0_normal_signed_p4d2_utilization_synth.rpt
w4a4_sf_v1_signmag_nonoverlap_p6d5_single_dsp,40,40,0,27,1,results\vivado_signmag_first\w4a4_sf_v1_signmag_nonoverlap_p6d5_single_dsp_utilization_synth.rpt
w4a4_sf_v2_overlap_no_correction_p10d7_single_dsp,60,60,0,39,1,results\vivado_signmag_first\w4a4_sf_v2_overlap_no_correction_p10d7_single_dsp_utilization_synth.rpt
w4a4_sf_v2_overlap_no_correction_p8d6_single_dsp,49,49,0,33,1,results\vivado_signmag_first\w4a4_sf_v2_overlap_no_correction_p8d6_single_dsp_utilization_synth.rpt
w4a4_sf_v3_full_correction_density_first_p10d7_single_dsp,106,106,0,132,1,results\vivado_signmag_first\w4a4_sf_v3_full_correction_density_first_p10d7_single_dsp_utilization_synth.rpt
w4a4_sf_v3_full_correction_p8d6_single_dsp,82,82,0,90,1,results\vivado_signmag_first\w4a4_sf_v3_full_correction_p8d6_single_dsp_utilization_synth.rpt
w4a4_v1_signmag_nonoverlap,43,43,0,37,2,results\vivado_signmag_first\w4a4_v1_signmag_nonoverlap_utilization_synth.rpt
w4a4_v2_overlap_no_correction,114,114,0,73,2,results\vivado_signmag_first\w4a4_v2_overlap_no_correction_utilization_synth.rpt
w4a4_v3_full_correction_density_first,142,142,0,73,3,results\vivado_signmag_first\w4a4_v3_full_correction_density_first_utilization_synth.rpt
WP521,36,32,4,22,1,results\vivado_signmag_first\WP521_utilization_synth.rpt
