group,method,precision,w_bits,a_bits,lanes,nx,ny,x_kind,offsets,outputs,error_count,ep,mae,mse,max_abs_err
0,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
1,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
2,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
3,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
4,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
5,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
6,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
7,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
8,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
9,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
10,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
11,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
12,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
13,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
14,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
15,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
16,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
17,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
18,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
19,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
20,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
21,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
