method,precision,w_bits,a_bits,lanes,nx,ny,x_kind,offsets,groups,samples_per_group,outputs,error_count,ep,mae,mse,max_abs_err
Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,100,10000,54000000,0,0.0,0.0,0.0,0
Ultra-DSP,W2A3,2,3,34,17,2,weight,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,100,10000,34000000,0,0.0,0.0,0.0,0
Ultra-DSP,W2A4,2,4,30,15,2,weight,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,100,10000,30000000,0,0.0,0.0,0.0,0
Ultra-DSP,W2A5,2,5,14,14,1,weight,0 2 4 6 8 10 12 14 16 18 20 22 24 26,100,10000,14000000,0,0.0,0.0,0.0,0
Ultra-DSP,W2A6,2,6,9,9,1,weight,0 3 6 9 12 15 18 22 26,100,10000,9000000,0,0.0,0.0,0.0,0
Ultra-DSP,W2A7,2,7,7,7,1,weight,0 4 8 12 16 21 26,100,10000,7000000,0,0.0,0.0,0.0,0
Ultra-DSP,W2A8,2,8,6,6,1,weight,0 5 10 15 20 26,100,10000,6000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A2,3,2,34,17,2,activation,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,100,10000,34000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A3,3,3,16,8,2,weight,0 2 4 6 8 10 12 15 16 18 20 22 24 26 28 31,100,10000,16000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A4,3,4,14,7,2,weight,0 2 4 6 8 10 13 15 17 19 21 23 25 28,100,10000,14000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A5,3,5,9,9,1,weight,0 3 6 9 12 15 18 21 25,100,10000,9000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A6,3,6,7,7,1,weight,0 4 8 12 16 20 25,100,10000,7000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A7,3,7,6,6,1,weight,0 5 10 15 20 25,100,10000,6000000,0,0.0,0.0,0.0,0
Ultra-DSP,W3A8,3,8,5,5,1,weight,0 6 12 18 25,100,10000,5000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A2,4,2,30,15,2,activation,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,100,10000,30000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A3,4,3,14,7,2,activation,0 2 4 6 8 10 13 15 17 19 21 23 25 28,100,10000,14000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A4,4,4,10,5,2,weight,0 3 6 9 12 15 18 21 24 27,100,10000,10000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A5,4,5,7,7,1,weight,0 4 8 12 16 20 24,100,10000,7000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A6,4,6,6,3,2,activation,0 5 10 15 20 25,100,10000,6000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A7,4,7,5,5,1,weight,0 6 12 18 24,100,10000,5000000,0,0.0,0.0,0.0,0
Ultra-DSP,W4A8,4,8,4,4,1,weight,0 8 16 24,100,10000,4000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A2,5,2,14,14,1,activation,0 2 4 6 8 10 12 14 16 18 20 22 24 26,100,10000,14000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A3,5,3,9,9,1,activation,0 3 6 9 12 15 18 21 25,100,10000,9000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A4,5,4,7,7,1,activation,0 4 8 12 16 20 24,100,10000,7000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A5,5,5,5,5,1,weight,0 5 11 17 23,100,10000,5000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A6,5,6,4,4,1,weight,0 7 15 23,100,10000,4000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A7,5,7,4,4,1,weight,0 7 15 23,100,10000,4000000,0,0.0,0.0,0.0,0
Ultra-DSP,W5A8,5,8,3,3,1,weight,0 11 23,100,10000,3000000,0,0.0,0.0,0.0,0
Ultra-DSP,W6A2,6,2,9,9,1,activation,0 3 6 9 12 15 18 22 26,100,10000,9000000,0,0.0,0.0,0.0,0
Ultra-DSP,W6A3,6,3,7,7,1,activation,0 4 8 12 16 20 25,100,10000,7000000,0,0.0,0.0,0.0,0
