budget_ratio,budget_lut,budget_ff,method,relative_accuracy,n_eff,prefill_gops,decode_gops,is_lut_limited,is_ff_limited
0.2,260800,521400,WP521,48.21103699211644,4096,6553.6,3276.8,False,False
0.2,260800,521400,DB-MixQ,49.80291085506368,4096,9830.4,3276.8,False,False
0.2,260800,521400,DSP-Packing,48.46876895087932,4096,9830.4,3276.8,False,False
0.2,260800,521400,DuoQ,100.0,4096,6553.6,6553.6,False,False
0.2,260800,521400,UDP,100.0,4096,9830.4,4915.2,False,False
0.2,260800,521400,Ultra-DSP,100.0,3477,12517.2,9735.6,True,False
0.25,326000,651750,WP521,48.21103699211644,4096,6553.6,3276.8,False,False
0.25,326000,651750,DB-MixQ,49.80291085506368,4096,9830.4,3276.8,False,False
0.25,326000,651750,DSP-Packing,48.46876895087932,4096,9830.4,3276.8,False,False
0.25,326000,651750,DuoQ,100.0,4096,6553.6,6553.6,False,False
0.25,326000,651750,UDP,100.0,4096,9830.4,4915.2,False,False
0.25,326000,651750,Ultra-DSP,100.0,4096,14745.6,11468.8,False,False
0.3,391200,782100,WP521,48.21103699211644,4096,6553.6,3276.8,False,False
0.3,391200,782100,DB-MixQ,49.80291085506368,4096,9830.4,3276.8,False,False
0.3,391200,782100,DSP-Packing,48.46876895087932,4096,9830.4,3276.8,False,False
0.3,391200,782100,DuoQ,100.0,4096,6553.6,6553.6,False,False
0.3,391200,782100,UDP,100.0,4096,9830.4,4915.2,False,False
0.3,391200,782100,Ultra-DSP,100.0,4096,14745.6,11468.8,False,False
0.35,456400,912450,WP521,48.21103699211644,4096,6553.6,3276.8,False,False
0.35,456400,912450,DB-MixQ,49.80291085506368,4096,9830.4,3276.8,False,False
0.35,456400,912450,DSP-Packing,48.46876895087932,4096,9830.4,3276.8,False,False
0.35,456400,912450,DuoQ,100.0,4096,6553.6,6553.6,False,False
0.35,456400,912450,UDP,100.0,4096,9830.4,4915.2,False,False
0.35,456400,912450,Ultra-DSP,100.0,4096,14745.6,11468.8,False,False
0.4,521600,1042800,WP521,48.21103699211644,4096,6553.6,3276.8,False,False
0.4,521600,1042800,DB-MixQ,49.80291085506368,4096,9830.4,3276.8,False,False
0.4,521600,1042800,DSP-Packing,48.46876895087932,4096,9830.4,3276.8,False,False
0.4,521600,1042800,DuoQ,100.0,4096,6553.6,6553.6,False,False
0.4,521600,1042800,UDP,100.0,4096,9830.4,4915.2,False,False
0.4,521600,1042800,Ultra-DSP,100.0,4096,14745.6,11468.8,False,False
0.45,586800,1173150,WP521,48.21103699211644,4096,6553.6,3276.8,False,False
0.45,586800,1173150,DB-MixQ,49.80291085506368,4096,9830.4,3276.8,False,False
0.45,586800,1173150,DSP-Packing,48.46876895087932,4096,9830.4,3276.8,False,False
0.45,586800,1173150,DuoQ,100.0,4096,6553.6,6553.6,False,False
0.45,586800,1173150,UDP,100.0,4096,9830.4,4915.2,False,False
0.45,586800,1173150,Ultra-DSP,100.0,4096,14745.6,11468.8,False,False
