series,batch_size,latency_ms,tops,power_w,energy_mj,tops_per_w,dominant
GPU (RTX 6000 Ada),1,0.019100,1.759000,236.130000,4.504500,0.007449,measured
GPU (RTX 6000 Ada),4,0.019000,7.061000,221.760000,4.215300,0.031841,measured
GPU (RTX 6000 Ada),16,0.019300,27.870800,233.360000,4.495200,0.119433,measured
GPU (RTX 6000 Ada),64,0.018100,118.744300,280.650000,5.075500,0.423105,measured
GPU (RTX 6000 Ada),256,0.021600,397.886100,296.050000,6.391400,1.343983,measured
U55C 4096-DSP Array,1,0.019073,1.759219,45.000000,0.858307,0.039094,memory
U55C 4096-DSP Array,4,0.019073,7.036874,45.000000,0.858307,0.156375,memory
U55C 4096-DSP Array,16,0.036409,14.745600,45.000000,1.638400,0.327680,compute
U55C 4096-DSP Array,64,0.145636,14.745600,45.000000,6.553600,0.327680,compute
U55C 4096-DSP Array,256,0.582542,14.745600,45.000000,26.214400,0.327680,compute
U55C 8192-DSP Array,1,0.019073,1.759219,51.475000,0.981808,0.034176,memory
U55C 8192-DSP Array,4,0.019073,7.036874,51.475000,0.981808,0.136705,memory
U55C 8192-DSP Array,16,0.019073,28.147498,51.475000,0.981808,0.546819,memory
U55C 8192-DSP Array,64,0.072818,29.491200,51.475000,3.748295,0.572923,compute
U55C 8192-DSP Array,256,0.291271,29.491200,51.475000,14.993180,0.572923,compute
