top_module,report,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp
W3A4_stage_s0_original,reports/area/W3A4_stage_s0_original_utilization_synth.rpt,137,112,25,55,1
W3A4_stage_s1_weight_offline,reports/area/W3A4_stage_s1_weight_offline_utilization_synth.rpt,126,101,25,55,1
W3A4_stage_s2_registered_c,reports/area/W3A4_stage_s2_registered_c_utilization_synth.rpt,114,105,9,87,1
W3A4_stage_s3_xor_sign,reports/area/W3A4_stage_s3_xor_sign_utilization_synth.rpt,97,88,9,87,1
W3A5_stage_s0_original,reports/area/W3A5_stage_s0_original_utilization_synth.rpt,131,109,22,49,1
W3A5_stage_s1_weight_offline,reports/area/W3A5_stage_s1_weight_offline_utilization_synth.rpt,124,102,22,49,1
W3A5_stage_s2_registered_c,reports/area/W3A5_stage_s2_registered_c_utilization_synth.rpt,107,100,7,79,1
W3A5_stage_s3_xor_sign,reports/area/W3A5_stage_s3_xor_sign_utilization_synth.rpt,82,75,7,79,1
W4A4_stage_s0_original,reports/area/W4A4_stage_s0_original_utilization_synth.rpt,121,96,25,31,1
W4A4_stage_s1_weight_offline,reports/area/W4A4_stage_s1_weight_offline_utilization_synth.rpt,108,83,25,31,1
W4A4_stage_s2_registered_c,reports/area/W4A4_stage_s2_registered_c_utilization_synth.rpt,91,84,7,67,1
W4A4_stage_s3_xor_sign,reports/area/W4A4_stage_s3_xor_sign_utilization_synth.rpt,75,68,7,67,1
W4A5_stage_s0_original,reports/area/W4A5_stage_s0_original_utilization_synth.rpt,125,104,21,33,1
W4A5_stage_s1_weight_offline,reports/area/W4A5_stage_s1_weight_offline_utilization_synth.rpt,111,90,21,33,1
W4A5_stage_s2_registered_c,reports/area/W4A5_stage_s2_registered_c_utilization_synth.rpt,96,90,6,63,1
W4A5_stage_s3_xor_sign,reports/area/W4A5_stage_s3_xor_sign_utilization_synth.rpt,82,76,6,63,1
W5A4_stage_s0_original,reports/area/W5A4_stage_s0_original_utilization_synth.rpt,133,110,23,32,1
W5A4_stage_s1_weight_offline,reports/area/W5A4_stage_s1_weight_offline_utilization_synth.rpt,114,96,18,42,1
W5A4_stage_s2_registered_c,reports/area/W5A4_stage_s2_registered_c_utilization_synth.rpt,110,105,5,68,1
W5A4_stage_s3_xor_sign,reports/area/W5A4_stage_s3_xor_sign_utilization_synth.rpt,89,84,5,68,1
W5A5_stage_s0_original,reports/area/W5A5_stage_s0_original_utilization_synth.rpt,119,98,21,21,1
W5A5_stage_s1_weight_offline,reports/area/W5A5_stage_s1_weight_offline_utilization_synth.rpt,108,87,21,21,1
W5A5_stage_s2_registered_c,reports/area/W5A5_stage_s2_registered_c_utilization_synth.rpt,93,87,6,51,1
W5A5_stage_s3_xor_sign,reports/area/W5A5_stage_s3_xor_sign_utilization_synth.rpt,74,68,6,51,1
