figure,metric,method,sequence,prefill_tokens,decode_tokens,model_value,calibrated_value,paper_anchor_value,source_kind
Figure 14,normalized_speedup,FlightLLM (INT8),"[512, 128]",512,128,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[512, 512]",512,512,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[512, 1024]",512,1024,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[1024, 128]",1024,128,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[1024, 512]",1024,512,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[1024, 1024]",1024,1024,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[1534, 128]",1534,128,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[1534, 512]",1534,512,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),"[1534, 1024]",1534,1024,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,FlightLLM (INT8),Geomean,,,1.0,1.0,1.0,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[512, 128]",512,128,1.3124866057358966,1.6049469964664311,1.6049469964664311,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[512, 512]",512,512,1.1953041285849353,1.3780918727915195,1.3780918727915195,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[512, 1024]",512,1024,1.130202752389957,1.2520612485276796,1.2520612485276796,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[1024, 128]",1024,128,1.3472073397065518,1.6721633294071454,1.6721633294071454,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[1024, 512]",1024,512,1.2604055047799139,1.5041224970553593,1.5041224970553593,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[1024, 1024]",1024,1024,1.1953041285849353,1.3780918727915195,1.3780918727915195,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[1534, 128]",1534,128,1.360525310769303,1.6979457675838636,1.6979457675838636,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[1534, 512]",1534,512,1.2928607363140672,1.5669530135505285,1.5669530135505285,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),"[1534, 1024]",1534,1024,1.234242793783652,1.453473755169813,1.453473755169813,model_and_calibrated
Figure 14,normalized_speedup,WP521 (INT4),Geomean,,,1.2566123083935261,1.4941667068621236,1.4941667068621236,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[512, 128]",512,128,1.3124866057358966,1.6049469964664311,1.6049469964664311,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[512, 512]",512,512,1.1953041285849353,1.3780918727915195,1.3780918727915195,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[512, 1024]",512,1024,1.130202752389957,1.2520612485276796,1.2520612485276796,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[1024, 128]",1024,128,1.3472073397065518,1.6721633294071454,1.6721633294071454,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[1024, 512]",1024,512,1.2604055047799139,1.5041224970553593,1.5041224970553593,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[1024, 1024]",1024,1024,1.1953041285849353,1.3780918727915195,1.3780918727915195,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[1534, 128]",1534,128,1.360525310769303,1.6979457675838636,1.6979457675838636,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[1534, 512]",1534,512,1.2928607363140672,1.5669530135505285,1.5669530135505285,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),"[1534, 1024]",1534,1024,1.234242793783652,1.453473755169813,1.453473755169813,model_and_calibrated
Figure 14,normalized_speedup,DuoQ (INT4),Geomean,,,1.2566123083935261,1.4941667068621236,1.4941667068621236,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[512, 128]",512,128,1.479018310063288,2.0770318021201413,2.0770318021201413,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[512, 512]",512,512,1.299386443789555,1.6731448763250882,1.6731448763250882,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[512, 1024]",512,1024,1.19959096252637,1.448763250883392,1.448763250883392,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[1024, 128]",1024,128,1.5322425667369868,2.1967020023557122,2.1967020023557122,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[1024, 512]",1024,512,1.39918192505274,1.8975265017667844,1.8975265017667844,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[1024, 1024]",1024,1024,1.299386443789555,1.6731448763250882,1.6731448763250882,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[1534, 128]",1534,128,1.5526580081506347,2.242604380604916,2.242604380604916,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[1534, 512]",1534,512,1.448933337999196,2.0093883091717353,2.0093883091717353,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),"[1534, 1024]",1534,1024,1.3590764697210145,1.8073528071013958,1.8073528071013958,model_and_calibrated
Figure 14,normalized_speedup,DSP-Packing (INT4),Geomean,,,1.3921068785391593,1.8746712800203256,1.8746712800203256,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[512, 128]",512,128,1.479018310063288,2.0770318021201413,2.0770318021201413,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[512, 512]",512,512,1.299386443789555,1.6731448763250882,1.6731448763250882,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[512, 1024]",512,1024,1.19959096252637,1.448763250883392,1.448763250883392,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[1024, 128]",1024,128,1.5322425667369868,2.1967020023557122,2.1967020023557122,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[1024, 512]",1024,512,1.39918192505274,1.8975265017667844,1.8975265017667844,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[1024, 1024]",1024,1024,1.299386443789555,1.6731448763250882,1.6731448763250882,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[1534, 128]",1534,128,1.5526580081506347,2.242604380604916,2.242604380604916,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[1534, 512]",1534,512,1.448933337999196,2.0093883091717353,2.0093883091717353,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),"[1534, 1024]",1534,1024,1.3590764697210145,1.8073528071013958,1.8073528071013958,model_and_calibrated
Figure 14,normalized_speedup,UDP (INT4),Geomean,,,1.3921068785391593,1.8746712800203256,1.8746712800203256,model_and_calibrated
Figure 14,normalized_speedup,Ultra-DSP (INT4),"[512, 128]",512,128,1.6208085867620752,2.6226148409893995,2.6226148409893995,model_and_calibrated
Figure 14,normalized_speedup,Ultra-DSP (INT4),"[512, 512]",512,512,1.388005366726297,2.0141342756183747,2.0141342756183747,model_and_calibrated
Figure 14,normalized_speedup,Ultra-DSP (INT4),"[512, 1024]",512,1024,1.258670244484198,1.6760895170789165,1.6760895170789165,model_and_calibrated
