report_file,source_relative_path,remote_raw_sha256,packaged_sha256,hash_status
initial_embedding_lookup_csynth.rpt,synth/initial_embedding_lookup/hls/syn/report/initial_embedding_lookup_csynth.rpt,6c522acad6bf0f400395f0298903461b5d91578b4588c39002e15f0412e66930,6c522acad6bf0f400395f0298903461b5d91578b4588c39002e15f0412e66930,MATCH
transformer_layer_scheduler_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/transformer_layer_scheduler_csynth.rpt,260c6599483902fcf3a654083f6c0bbc079308fe4f1baa3fac850b4fbef82719,260c6599483902fcf3a654083f6c0bbc079308fe4f1baa3fac850b4fbef82719,MATCH
compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,31e661cbc8f2e11c6b0df88da2ac1e22afc87eba8b727d609d738ef0245474d1,31e661cbc8f2e11c6b0df88da2ac1e22afc87eba8b727d609d738ef0245474d1,MATCH
compute_mha_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/compute_mha_csynth.rpt,142518a12dab0244624374b55a1db15a17a5a1a13c80eea59204570a763cf8ff,142518a12dab0244624374b55a1db15a17a5a1a13c80eea59204570a763cf8ff,MATCH
prepare_attn_input_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/prepare_attn_input_csynth.rpt,ee8a24f16c5ce9b899cb39932ece6899df1ef176f03cc57dc3c0ea019406b66c,ee8a24f16c5ce9b899cb39932ece6899df1ef176f03cc57dc3c0ea019406b66c,MATCH
prepare_wo_input_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/prepare_wo_input_csynth.rpt,2743410d4f1767956339026f8a7e34e9f61f894349f1f043f47aebd18ec605e8,2743410d4f1767956339026f8a7e34e9f61f894349f1f043f47aebd18ec605e8,MATCH
update_residual_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/update_residual_csynth.rpt,37abab1210262ad50f6d62cf205e143a896866af35bc5ce3b7a0fb06c118c753,37abab1210262ad50f6d62cf205e143a896866af35bc5ce3b7a0fb06c118c753,MATCH
prepare_ffn_input_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/prepare_ffn_input_csynth.rpt,3725b5595bae975c68ec38e7a77e530d370aea6ca109ca6756d29582e89ec7f9,3725b5595bae975c68ec38e7a77e530d370aea6ca109ca6756d29582e89ec7f9,MATCH
compute_swiglu_prepare_w2_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/compute_swiglu_prepare_w2_csynth.rpt,fa526768287ffc1fed0ee64bccfcf887bdadab7b89645044efbdf6057a83c5ee,fa526768287ffc1fed0ee64bccfcf887bdadab7b89645044efbdf6057a83c5ee,MATCH
rmsnorm_4096_s_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/rmsnorm_4096_s_csynth.rpt,eca753f4fc57ea8ecdbd2ad1b151ea2b1fc032baba7c3b50572775e9c8d2e18f,eca753f4fc57ea8ecdbd2ad1b151ea2b1fc032baba7c3b50572775e9c8d2e18f,MATCH
quantize_ptr_4096_1_s_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/quantize_ptr_4096_1_s_csynth.rpt,f7bd30bfe69c67968f072fc4159202fa5a3466713fa35424fb75b0fd8d01e2e4,f7bd30bfe69c67968f072fc4159202fa5a3466713fa35424fb75b0fd8d01e2e4,MATCH
quantize_ptr_11008_1_s_csynth.rpt,synth/transformer_layer_pipeline/hls/syn/report/quantize_ptr_11008_1_s_csynth.rpt,f29bf21e2255e92983f5b5fb14d0e823ba0a1dc4ac3fc279a798bac2e9a9edce,f29bf21e2255e92983f5b5fb14d0e823ba0a1dc4ac3fc279a798bac2e9a9edce,MATCH
final_norm_classifier_csynth.rpt,synth/final_norm_classifier/hls/syn/report/final_norm_classifier_csynth.rpt,cd436b2324ba4d076552c2c6d22af519e313efd1c0b12147cc3b40ac41faf0ee,cd436b2324ba4d076552c2c6d22af519e313efd1c0b12147cc3b40ac41faf0ee,MATCH
