logical_name,category,report_file,source_kind,top_model,tool_version,target_clock_ns,estimated_clock_ns,min_cycles,max_cycles,min_latency_us,max_latency_us,sha256
initial_embedding,one_off,initial_embedding_lookup_csynth.rpt,raw_csynth_report,initial_embedding_lookup,2024.1 (Build 5069499 on May 21 2024),3.33,2.433,4100,8309,13.653,27.66897,6c522acad6bf0f400395f0298903461b5d91578b4588c39002e15f0412e66930
transformer_scheduler,control,transformer_layer_scheduler_csynth.rpt,raw_csynth_report,transformer_layer_scheduler,2024.1 (Build 5069499 on May 21 2024),5.0,3.981,,,,,260c6599483902fcf3a654083f6c0bbc079308fe4f1baa3fac850b4fbef82719
matrix_compute_loop,matrix,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,raw_csynth_report,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8,2024.1 (Build 5069499 on May 21 2024),5.0,3.627,4120,29608,20.6,148.04,31e661cbc8f2e11c6b0df88da2ac1e22afc87eba8b727d609d738ef0245474d1
attention_non_matrix,non_matrix,compute_mha_csynth.rpt,raw_csynth_report,compute_mha,2024.1 (Build 5069499 on May 21 2024),5.0,3.757,18613,21285,93.065,106.425,142518a12dab0244624374b55a1db15a17a5a1a13c80eea59204570a763cf8ff
attention_norm_quantize,non_matrix,prepare_attn_input_csynth.rpt,raw_csynth_report,prepare_attn_input,2024.1 (Build 5069499 on May 21 2024),5.0,3.65,2430,2430,12.15,12.15,ee8a24f16c5ce9b899cb39932ece6899df1ef176f03cc57dc3c0ea019406b66c
attention_output_quantize,non_matrix,prepare_wo_input_csynth.rpt,raw_csynth_report,prepare_wo_input,2024.1 (Build 5069499 on May 21 2024),5.0,3.647,788,788,3.94,3.94,2743410d4f1767956339026f8a7e34e9f61f894349f1f043f47aebd18ec605e8
residual_update,non_matrix,update_residual_csynth.rpt,raw_csynth_report,update_residual,2024.1 (Build 5069499 on May 21 2024),5.0,3.576,4103,4103,20.515,20.515,37abab1210262ad50f6d62cf205e143a896866af35bc5ce3b7a0fb06c118c753
ffn_norm_quantize,non_matrix,prepare_ffn_input_csynth.rpt,raw_csynth_report,prepare_ffn_input,2024.1 (Build 5069499 on May 21 2024),5.0,3.65,2430,2430,12.15,12.15,3725b5595bae975c68ec38e7a77e530d370aea6ca109ca6756d29582e89ec7f9
swiglu_and_quantize,non_matrix,compute_swiglu_prepare_w2_csynth.rpt,raw_csynth_report,compute_swiglu_prepare_w2,2024.1 (Build 5069499 on May 21 2024),5.0,3.647,3533,3533,17.665,17.665,fa526768287ffc1fed0ee64bccfcf887bdadab7b89645044efbdf6057a83c5ee
rmsnorm_4096,component,rmsnorm_4096_s_csynth.rpt,raw_csynth_report,rmsnorm_4096_s,2024.1 (Build 5069499 on May 21 2024),5.0,3.65,1639,1639,8.195,8.195,eca753f4fc57ea8ecdbd2ad1b151ea2b1fc032baba7c3b50572775e9c8d2e18f
quantize_4096,component,quantize_ptr_4096_1_s_csynth.rpt,raw_csynth_report,quantize_ptr_4096_1_s,2024.1 (Build 5069499 on May 21 2024),5.0,3.647,787,787,3.935,3.935,f7bd30bfe69c67968f072fc4159202fa5a3466713fa35424fb75b0fd8d01e2e4
quantize_11008,component,quantize_ptr_11008_1_s_csynth.rpt,raw_csynth_report,quantize_ptr_11008_1_s,2024.1 (Build 5069499 on May 21 2024),5.0,3.647,2083,2083,10.415,10.415,f29bf21e2255e92983f5b5fb14d0e823ba0a1dc4ac3fc279a798bac2e9a9edce
final_norm_classifier,one_off,final_norm_classifier_csynth.rpt,raw_csynth_report,final_norm_classifier,2024.1 (Build 5069499 on May 21 2024),3.33,2.433,2732537,2732537,9099.34821,9099.34821,cd436b2324ba4d076552c2c6d22af519e313efd1c0b12147cc3b40ac41faf0ee
