operator,category,calls_per_layer,latency_per_call_us,layer_contribution_us,source_kind,raw_report,assumption
Q projection,matrix,1,20.6,20.6,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
K projection,matrix,1,20.6,20.6,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
V projection,matrix,1,20.6,20.6,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
O projection,matrix,1,20.6,20.6,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
FFN W1 projection,matrix,1,55.16,55.16,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
FFN W3 projection,matrix,1,55.16,55.16,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
FFN W2 projection,matrix,1,55.16,55.16,model_from_raw_csynth,compute_core_w4a8_Pipeline_compute_n_core_w4a8_group_loop_w4a8_csynth.rpt,compute-loop trip count plus 24-cycle pipeline overhead
attention RMSNorm and quantize,non_matrix,1,12.15,12.15,raw_csynth_worst_case,prepare_attn_input_csynth.rpt,worst-case report latency; sequential layer accounting
attention and KV-cache update at seq_len<=128,non_matrix,1,106.425,106.425,raw_csynth_worst_case,compute_mha_csynth.rpt,worst-case report latency; sequential layer accounting
attention-output quantize,non_matrix,1,3.94,3.94,raw_csynth_worst_case,prepare_wo_input_csynth.rpt,worst-case report latency; sequential layer accounting
residual update,non_matrix,2,20.515,41.03,raw_csynth_worst_case,update_residual_csynth.rpt,worst-case report latency; sequential layer accounting
FFN RMSNorm and quantize,non_matrix,1,12.15,12.15,raw_csynth_worst_case,prepare_ffn_input_csynth.rpt,worst-case report latency; sequential layer accounting
SwiGLU and W2-input quantize,non_matrix,1,17.665,17.665,raw_csynth_worst_case,compute_swiglu_prepare_w2_csynth.rpt,worst-case report latency; sequential layer accounting
