method,phase,packing_ratio_vs_flightllm,raw_hls_matrix_fraction,model_matrix_fraction,calibrated_matrix_fraction,model_speedup_equal_power,calibrated_speedup,paper_speedup_anchor,calibrated_power_ratio,model_energy_efficiency_equal_power,calibrated_energy_efficiency,paper_energy_efficiency_anchor,source_kind
FlightLLM (INT8),prefill,1.0,0.5617804369504125,0.5617804369504125,0.8609726140226945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,raw_hls_model_plus_paper_calibration
FlightLLM (INT8),decode,1.0,0.5617804369504125,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,raw_hls_model_plus_paper_calibration
WP521 (INT4),prefill,2.0,0.5617804369504125,0.5617804369504125,0.8609726140226945,1.3906082571698708,1.7561837455830387,1.7561837455830387,0.9921203459331807,1.3906082571698708,1.7701317715959004,1.7701317715959004,raw_hls_model_plus_paper_calibration
WP521 (INT4),decode,1.0,0.5617804369504125,0.0,0.0,1.0,1.0,1.0,0.9955555555555556,1.0,1.0044642857142856,1.0044642857142856,raw_hls_model_plus_paper_calibration
DuoQ (INT4),prefill,2.0,0.5617804369504125,0.5617804369504125,0.8609726140226945,1.3906082571698708,1.7561837455830387,1.7561837455830387,1.0260680053320919,1.3906082571698708,1.7115666178623719,1.7115666178623719,raw_hls_model_plus_paper_calibration
DuoQ (INT4),decode,2.0,0.5617804369504125,0.0,0.0,1.0,1.0,1.0,1.0228310502283104,1.0,0.9776785714285714,0.9776785714285714,raw_hls_model_plus_paper_calibration
DSP-Packing (INT4),prefill,3.0,0.5617804369504125,0.5617804369504125,0.8609726140226945,1.59877288757911,2.3462897526501765,2.3462897526501765,1.0047121636740255,1.59877288757911,2.335285505124451,2.335285505124451,raw_hls_model_plus_paper_calibration
DSP-Packing (INT4),decode,1.0,0.5617804369504125,0.0,0.0,1.0,1.0,1.0,1.009009009009009,1.0,0.9910714285714286,0.9910714285714286,raw_hls_model_plus_paper_calibration
UDP (INT4),prefill,3.0,0.5617804369504125,0.5617804369504125,0.8609726140226945,1.59877288757911,2.3462897526501765,2.3462897526501765,1.0200610445958438,1.59877288757911,2.3001464128843336,2.3001464128843336,raw_hls_model_plus_paper_calibration
UDP (INT4),decode,1.5,0.5617804369504125,0.0,0.0,1.0,1.0,1.0,1.0275229357798166,1.0,0.9732142857142857,0.9732142857142857,raw_hls_model_plus_paper_calibration
Ultra-DSP (INT4),prefill,4.5,0.5617804369504125,0.5617804369504125,0.8609726140226945,1.7760107334525939,3.0282685512367493,3.0282685512367493,1.0772434481743227,1.7760107334525939,2.8111273792093705,2.8111273792093705,raw_hls_model_plus_paper_calibration
Ultra-DSP (INT4),decode,3.5,0.5617804369504125,0.0,0.0,1.0,1.0,1.0,0.8784313725490197,1.0,1.138392857142857,1.138392857142857,raw_hls_model_plus_paper_calibration
