metric,method,sequence,prefill_tokens,decode_tokens,value
normalized_speedup,FlightLLM (INT8),"[0K, 8K]",0,8192,1.000000
normalized_speedup,FlightLLM (INT8),"[1K, 7K]",1024,7168,1.000000
normalized_speedup,FlightLLM (INT8),"[2K, 6K]",2048,6144,1.000000
normalized_speedup,FlightLLM (INT8),"[3K, 5K]",3072,5120,1.000000
normalized_speedup,FlightLLM (INT8),"[4K, 4K]",4096,4096,1.000000
normalized_speedup,FlightLLM (INT8),"[5K, 3K]",5120,3072,1.000000
normalized_speedup,FlightLLM (INT8),"[6K, 2K]",6144,2048,1.000000
normalized_speedup,FlightLLM (INT8),"[7K, 1K]",7168,1024,1.000000
normalized_speedup,FlightLLM (INT8),"[8K, 0K]",8192,0,1.000000
normalized_speedup,FlightLLM (INT8),Geomean,,,1.000000
normalized_speedup,WP521 (INT4),"[0K, 8K]",0,8192,1.000000
normalized_speedup,WP521 (INT4),"[1K, 7K]",1024,7168,1.094523
normalized_speedup,WP521 (INT4),"[2K, 6K]",2048,6144,1.189046
normalized_speedup,WP521 (INT4),"[3K, 5K]",3072,5120,1.283569
normalized_speedup,WP521 (INT4),"[4K, 4K]",4096,4096,1.378092
normalized_speedup,WP521 (INT4),"[5K, 3K]",5120,3072,1.472615
normalized_speedup,WP521 (INT4),"[6K, 2K]",6144,2048,1.567138
normalized_speedup,WP521 (INT4),"[7K, 1K]",7168,1024,1.661661
normalized_speedup,WP521 (INT4),"[8K, 0K]",8192,0,1.756184
normalized_speedup,WP521 (INT4),Geomean,,,1.356032
normalized_speedup,DuoQ (INT4),"[0K, 8K]",0,8192,1.000000
normalized_speedup,DuoQ (INT4),"[1K, 7K]",1024,7168,1.094523
normalized_speedup,DuoQ (INT4),"[2K, 6K]",2048,6144,1.189046
normalized_speedup,DuoQ (INT4),"[3K, 5K]",3072,5120,1.283569
normalized_speedup,DuoQ (INT4),"[4K, 4K]",4096,4096,1.378092
normalized_speedup,DuoQ (INT4),"[5K, 3K]",5120,3072,1.472615
normalized_speedup,DuoQ (INT4),"[6K, 2K]",6144,2048,1.567138
normalized_speedup,DuoQ (INT4),"[7K, 1K]",7168,1024,1.661661
normalized_speedup,DuoQ (INT4),"[8K, 0K]",8192,0,1.756184
normalized_speedup,DuoQ (INT4),Geomean,,,1.356032
normalized_speedup,DSP-Packing (INT4),"[0K, 8K]",0,8192,1.000000
normalized_speedup,DSP-Packing (INT4),"[1K, 7K]",1024,7168,1.168286
normalized_speedup,DSP-Packing (INT4),"[2K, 6K]",2048,6144,1.336572
normalized_speedup,DSP-Packing (INT4),"[3K, 5K]",3072,5120,1.504859
normalized_speedup,DSP-Packing (INT4),"[4K, 4K]",4096,4096,1.673145
normalized_speedup,DSP-Packing (INT4),"[5K, 3K]",5120,3072,1.841431
normalized_speedup,DSP-Packing (INT4),"[6K, 2K]",6144,2048,2.009717
normalized_speedup,DSP-Packing (INT4),"[7K, 1K]",7168,1024,2.178004
normalized_speedup,DSP-Packing (INT4),"[8K, 0K]",8192,0,2.346290
normalized_speedup,DSP-Packing (INT4),Geomean,,,1.614070
normalized_speedup,UDP (INT4),"[0K, 8K]",0,8192,1.000000
normalized_speedup,UDP (INT4),"[1K, 7K]",1024,7168,1.168286
normalized_speedup,UDP (INT4),"[2K, 6K]",2048,6144,1.336572
normalized_speedup,UDP (INT4),"[3K, 5K]",3072,5120,1.504859
normalized_speedup,UDP (INT4),"[4K, 4K]",4096,4096,1.673145
normalized_speedup,UDP (INT4),"[5K, 3K]",5120,3072,1.841431
normalized_speedup,UDP (INT4),"[6K, 2K]",6144,2048,2.009717
normalized_speedup,UDP (INT4),"[7K, 1K]",7168,1024,2.178004
normalized_speedup,UDP (INT4),"[8K, 0K]",8192,0,2.346290
normalized_speedup,UDP (INT4),Geomean,,,1.614070
normalized_speedup,Ultra-DSP (INT4),"[0K, 8K]",0,8192,1.000000
normalized_speedup,Ultra-DSP (INT4),"[1K, 7K]",1024,7168,1.253534
normalized_speedup,Ultra-DSP (INT4),"[2K, 6K]",2048,6144,1.507067
normalized_speedup,Ultra-DSP (INT4),"[3K, 5K]",3072,5120,1.760601
normalized_speedup,Ultra-DSP (INT4),"[4K, 4K]",4096,4096,2.014134
normalized_speedup,Ultra-DSP (INT4),"[5K, 3K]",5120,3072,2.267668
normalized_speedup,Ultra-DSP (INT4),"[6K, 2K]",6144,2048,2.521201
normalized_speedup,Ultra-DSP (INT4),"[7K, 1K]",7168,1024,2.774735
normalized_speedup,Ultra-DSP (INT4),"[8K, 0K]",8192,0,3.028269
normalized_speedup,Ultra-DSP (INT4),Geomean,,,1.899435
normalized_energy_efficiency,FlightLLM (INT8),"[0K, 8K]",0,8192,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[1K, 7K]",1024,7168,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[2K, 6K]",2048,6144,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[3K, 5K]",3072,5120,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[4K, 4K]",4096,4096,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[5K, 3K]",5120,3072,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[6K, 2K]",6144,2048,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[7K, 1K]",7168,1024,1.000000
normalized_energy_efficiency,FlightLLM (INT8),"[8K, 0K]",8192,0,1.000000
normalized_energy_efficiency,FlightLLM (INT8),Geomean,,,1.000000
normalized_energy_efficiency,WP521 (INT4),"[0K, 8K]",0,8192,1.004464
normalized_energy_efficiency,WP521 (INT4),"[1K, 7K]",1024,7168,1.100173
normalized_energy_efficiency,WP521 (INT4),"[2K, 6K]",2048,6144,1.195881
normalized_energy_efficiency,WP521 (INT4),"[3K, 5K]",3072,5120,1.291590
normalized_energy_efficiency,WP521 (INT4),"[4K, 4K]",4096,4096,1.387298
normalized_energy_efficiency,WP521 (INT4),"[5K, 3K]",5120,3072,1.483006
normalized_energy_efficiency,WP521 (INT4),"[6K, 2K]",6144,2048,1.578715
normalized_energy_efficiency,WP521 (INT4),"[7K, 1K]",7168,1024,1.674423
normalized_energy_efficiency,WP521 (INT4),"[8K, 0K]",8192,0,1.770132
normalized_energy_efficiency,WP521 (INT4),Geomean,,,1.364826
normalized_energy_efficiency,DuoQ (INT4),"[0K, 8K]",0,8192,0.977679
normalized_energy_efficiency,DuoQ (INT4),"[1K, 7K]",1024,7168,1.069415
normalized_energy_efficiency,DuoQ (INT4),"[2K, 6K]",2048,6144,1.161151
normalized_energy_efficiency,DuoQ (INT4),"[3K, 5K]",3072,5120,1.252887
normalized_energy_efficiency,DuoQ (INT4),"[4K, 4K]",4096,4096,1.344623
normalized_energy_efficiency,DuoQ (INT4),"[5K, 3K]",5120,3072,1.436359
normalized_energy_efficiency,DuoQ (INT4),"[6K, 2K]",6144,2048,1.528095
normalized_energy_efficiency,DuoQ (INT4),"[7K, 1K]",7168,1024,1.619831
normalized_energy_efficiency,DuoQ (INT4),"[8K, 0K]",8192,0,1.711567
normalized_energy_efficiency,DuoQ (INT4),Geomean,,,1.323332
normalized_energy_efficiency,DSP-Packing (INT4),"[0K, 8K]",0,8192,0.991071
normalized_energy_efficiency,DSP-Packing (INT4),"[1K, 7K]",1024,7168,1.159098
normalized_energy_efficiency,DSP-Packing (INT4),"[2K, 6K]",2048,6144,1.327125
normalized_energy_efficiency,DSP-Packing (INT4),"[3K, 5K]",3072,5120,1.495152
normalized_energy_efficiency,DSP-Packing (INT4),"[4K, 4K]",4096,4096,1.663178
normalized_energy_efficiency,DSP-Packing (INT4),"[5K, 3K]",5120,3072,1.831205
normalized_energy_efficiency,DSP-Packing (INT4),"[6K, 2K]",6144,2048,1.999232
normalized_energy_efficiency,DSP-Packing (INT4),"[7K, 1K]",7168,1024,2.167259
normalized_energy_efficiency,DSP-Packing (INT4),"[8K, 0K]",8192,0,2.335286
normalized_energy_efficiency,DSP-Packing (INT4),Geomean,,,1.603907
normalized_energy_efficiency,UDP (INT4),"[0K, 8K]",0,8192,0.973214
normalized_energy_efficiency,UDP (INT4),"[1K, 7K]",1024,7168,1.139081
normalized_energy_efficiency,UDP (INT4),"[2K, 6K]",2048,6144,1.304947
normalized_energy_efficiency,UDP (INT4),"[3K, 5K]",3072,5120,1.470814
normalized_energy_efficiency,UDP (INT4),"[4K, 4K]",4096,4096,1.636680
normalized_energy_efficiency,UDP (INT4),"[5K, 3K]",5120,3072,1.802547
normalized_energy_efficiency,UDP (INT4),"[6K, 2K]",6144,2048,1.968413
normalized_energy_efficiency,UDP (INT4),"[7K, 1K]",7168,1024,2.134280
normalized_energy_efficiency,UDP (INT4),"[8K, 0K]",8192,0,2.300146
normalized_energy_efficiency,UDP (INT4),Geomean,,,1.577969
normalized_energy_efficiency,Ultra-DSP (INT4),"[0K, 8K]",0,8192,1.138393
normalized_energy_efficiency,Ultra-DSP (INT4),"[1K, 7K]",1024,7168,1.347485
normalized_energy_efficiency,Ultra-DSP (INT4),"[2K, 6K]",2048,6144,1.556576
normalized_energy_efficiency,Ultra-DSP (INT4),"[3K, 5K]",3072,5120,1.765668
normalized_energy_efficiency,Ultra-DSP (INT4),"[4K, 4K]",4096,4096,1.974760
normalized_energy_efficiency,Ultra-DSP (INT4),"[5K, 3K]",5120,3072,2.183852
