depth,search_model,pointwise_limit,legal_layouts,best_prefill_schema,best_prefill_T,best_prefill_decode_T,best_prefill_x_pos,best_prefill_y_pos,best_prefill_product_offsets,best_prefill_cost,best_prefill_max_adjacent_overlap,best_prefill_pointwise_overlap,best_decode_schema,best_decode_T,best_decode_decode_T,best_decode_x_pos,best_decode_y_pos,best_decode_product_offsets,best_decode_cost,best_decode_max_adjacent_overlap,best_decode_pointwise_overlap,note
3,uniform,<=2,620,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,configured generator cap
3,uniform,<=3,620,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
3,uniform,<=4,620,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
3,uniform,disabled,620,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
4,uniform,<=2,723,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
4,uniform,<=3,830,4x3,12,3,0 4 8 13,0 11 22,0 4 8 11 13 15 19 22 24 26 30 35,31,4,3,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,configured generator cap
4,uniform,<=4,830,4x3,12,3,0 4 8 13,0 11 22,0 4 8 11 13 15 19 22 24 26 30 35,31,4,3,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
4,uniform,disabled,830,4x3,12,3,0 4 8 13,0 11 22,0 4 8 11 13 15 19 22 24 26 30 35,31,4,3,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
5,uniform,<=2,813,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
5,uniform,<=3,1126,4x3,12,3,0 4 9 14,0 11 23,0 4 9 11 14 15 20 23 25 27 32 37,29,5,3,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
5,uniform,<=4,1366,5x4,20,4,0 3 6 9 12,0 7 15 23,0 3 6 7 9 10 12 13 15 16 18 19 21 23 24 26 27 29 32 35,79,5,4,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,configured generator cap
5,uniform,disabled,1433,5x5,25,5,0 3 6 9 12,0 5 10 15 20,0 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27 29 32,112,5,6,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
6,uniform,<=2,868,5x2,10,2,0 3 6 10 14,0 23,0 3 6 10 14 23 26 29 33 37,17,3,2,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
6,uniform,<=3,1305,4x3,12,3,0 4 9 14,0 11 23,0 4 9 11 14 15 20 23 25 27 32 37,29,5,3,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
6,uniform,<=4,1907,5x4,20,4,0 3 6 9 12,0 7 15 23,0 3 6 7 9 10 12 13 15 16 18 19 21 23 24 26 27 29 32 35,79,5,4,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,configured generator cap
6,uniform,disabled,2634,5x8,40,8,0 3 6 10 14,0 3 6 9 12 15 19 23,0 3 3 6 6 6 9 9 9 10 12 12 12 13 14 15 15 15 16 17 18 18 19 19 20 21 22 22 23 23 25 25 26 26 29 29 29 33 33 37,197,6,10,1x8,8,8,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,3,2,constraint audit
