depth,nx,ny,T,decode_T,pointwise_limit,x_pos,y_pos,product_offsets,cost,cost_per_mult,cost_per_decode_mult,max_adjacent_overlap,total_overlap,pointwise_overlap,is_prefill_pareto,is_decode_pareto,source
3,1,2,2,2,2,0,0 23,0 23,-17,-8.500000,-8.500000,0,0,1,1,0,solver
3,1,2,2,2,2,0,0 22,0 22,-16,-8.000000,-8.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 21,0 21,-15,-7.500000,-7.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 20,0 20,-14,-7.000000,-7.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 19,0 19,-13,-6.500000,-6.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 18,0 18,-12,-6.000000,-6.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 17,0 17,-11,-5.500000,-5.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 16,0 16,-10,-5.000000,-5.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 15,0 15,-9,-4.500000,-4.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 14,0 14,-8,-4.000000,-4.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 13,0 13,-7,-3.500000,-3.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 12,0 12,-6,-3.000000,-3.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 11,0 11,-5,-2.500000,-2.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 10,0 10,-4,-2.000000,-2.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 9,0 9,-3,-1.500000,-1.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 8,0 8,-2,-1.000000,-1.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 7,0 7,-1,-0.500000,-0.500000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 6,0 6,0,0.000000,0.000000,0,0,1,0,0,solver
3,1,2,2,2,2,0,0 5,0 5,1,0.500000,0.500000,1,1,2,0,0,solver
3,1,2,2,2,2,0,0 4,0 4,2,1.000000,1.000000,2,2,2,0,0,solver
3,1,2,2,2,2,0,0 3,0 3,3,1.500000,1.500000,3,3,2,0,0,solver
3,1,3,3,3,2,0,0 11 23,0 11 23,-11,-3.666667,-3.666667,0,0,1,0,1,solver
3,1,3,3,3,2,0,0 11 22,0 11 22,-10,-3.333333,-3.333333,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 10 21,0 10 21,-9,-3.000000,-3.000000,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 10 20,0 10 20,-8,-2.666667,-2.666667,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 9 19,0 9 19,-7,-2.333333,-2.333333,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 9 18,0 9 18,-6,-2.000000,-2.000000,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 8 17,0 8 17,-5,-1.666667,-1.666667,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 8 16,0 8 16,-4,-1.333333,-1.333333,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 7 15,0 7 15,-3,-1.000000,-1.000000,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 7 14,0 7 14,-2,-0.666667,-0.666667,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 6 13,0 6 13,-1,-0.333333,-0.333333,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 6 12,0 6 12,0,0.000000,0.000000,0,0,1,0,0,solver
3,1,3,3,3,2,0,0 5 11,0 5 11,1,0.333333,0.333333,1,1,2,0,0,solver
3,1,3,3,3,2,0,0 5 10,0 5 10,2,0.666667,0.666667,1,2,2,0,0,solver
3,1,3,3,3,2,0,0 4 9,0 4 9,3,1.000000,1.000000,2,3,2,0,0,solver
3,1,3,3,3,2,0,0 4 8,0 4 8,4,1.333333,1.333333,2,4,2,0,0,solver
3,1,3,3,3,2,0,0 3 7,0 3 7,5,1.666667,1.666667,3,5,2,0,0,solver
3,1,3,3,3,2,0,0 3 6,0 3 6,6,2.000000,2.000000,3,6,2,0,0,solver
3,1,4,4,4,2,0,0 7 15 23,0 7 15 23,-5,-1.250000,-1.250000,0,0,1,0,1,solver
3,1,4,4,4,2,0,0 7 14 22,0 7 14 22,-4,-1.000000,-1.000000,0,0,1,0,0,solver
3,1,4,4,4,2,0,0 7 14 21,0 7 14 21,-3,-0.750000,-0.750000,0,0,1,0,0,solver
3,1,4,4,4,2,0,0 6 13 20,0 6 13 20,-2,-0.500000,-0.500000,0,0,1,0,0,solver
3,1,4,4,4,2,0,0 6 12 19,0 6 12 19,-1,-0.250000,-0.250000,0,0,1,0,0,solver
3,1,4,4,4,2,0,0 6 12 18,0 6 12 18,0,0.000000,0.000000,0,0,1,0,0,solver
3,1,4,4,4,2,0,0 5 11 17,0 5 11 17,1,0.250000,0.250000,1,1,2,0,0,solver
3,1,4,4,4,2,0,0 5 10 16,0 5 10 16,2,0.500000,0.500000,1,2,2,0,0,solver
3,1,4,4,4,2,0,0 5 10 15,0 5 10 15,3,0.750000,0.750000,1,3,2,0,0,solver
3,1,4,4,4,2,0,0 4 9 14,0 4 9 14,4,1.000000,1.000000,2,4,2,0,0,solver
3,1,4,4,4,2,0,0 4 8 13,0 4 8 13,5,1.250000,1.250000,2,5,2,0,0,solver
3,1,4,4,4,2,0,0 4 8 12,0 4 8 12,6,1.500000,1.500000,2,6,2,0,0,solver
3,1,4,4,4,2,0,0 3 7 11,0 3 7 11,7,1.750000,1.750000,3,7,2,0,0,solver
