pe_rows,pe_cols,pe_count,ooc_variant,target_frequency_mhz,wns_ns,timing_met,estimated_fmax_mhz,lut,ff,expected_pe_dsp,routed_report_dsp,utilization_report,timing_report
8,8,64,ooc_implement,200,0.356,True,215.332,13341,13478,64,64,W4A4_PD_8_8/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,220,0.73,True,262.092,13340,13478,64,64,W4A4_PD_8_8/ooc_implement/freq_220MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_220MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,240,0.469,True,270.441,13355,13522,64,64,W4A4_PD_8_8/ooc_implement/freq_240MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_240MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,260,0.29,True,281.203,13354,13521,64,64,W4A4_PD_8_8/ooc_implement/freq_260MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_260MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,280,0.38,True,313.339,13354,13531,64,64,W4A4_PD_8_8/ooc_implement/freq_280MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_280MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,300,0.243,True,323.59,13380,13524,64,64,W4A4_PD_8_8/ooc_implement/freq_300MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_300MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,320,0.196,True,341.413,13375,13538,64,64,W4A4_PD_8_8/ooc_implement/freq_320MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_320MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,340,0.203,True,365.207,13384,13546,64,64,W4A4_PD_8_8/ooc_implement/freq_340MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_340MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,360,0.121,True,376.396,13395,13565,64,64,W4A4_PD_8_8/ooc_implement/freq_360MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_360MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement,380,0.13,True,399.748,13406,13564,64,64,W4A4_PD_8_8/ooc_implement/freq_380MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement/freq_380MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
