data_format,method,dsp_count,routed_report_dsp,lut,ff,klut,kff,power_w,packing_count,frequency_mhz,throughput_gops,energy_efficiency_gops_per_w,wns_ns,timing_met,utilization_report,power_report,timing_report
W4A4,WP521,4096,4096,12049,28587,12.049,28.587,4.573,4,200,6553.6,1433.11,1.048,True,Baseline/WP521/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/WP521/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/WP521/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A4,DB-MixQ,4096,4096,99271,205650,99.271,205.65,4.895,6,200,9830.4,2008.25,0.551,True,Baseline/DeepBurning/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/DeepBurning/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/DeepBurning/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A4,DSP-Packing,4096,4096,106736,54448,106.736,54.448,4.979,6,200,9830.4,1974.37,0.723,True,Baseline/DSP-Packing/ooc_implement1/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/DSP-Packing/ooc_implement1/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/DSP-Packing/ooc_implement1/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A4,DuoQ,4096,4096,98337,158930,98.337,158.93,5.445,4,200,6553.6,1203.6,0.447,True,Baseline/DuoQ/ooc_implement1/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/DuoQ/ooc_implement1/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/DuoQ/ooc_implement1/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A4,UDP,4096,4123,148831,80010,148.831,80.01,5.084,6,200,9830.4,1933.6,0.327,True,Baseline/UDP-general/INT4_INT4/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/UDP-general/INT4_INT4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/UDP-general/INT4_INT4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A4,Ultra-DSP,4096,4096,244939,259987,244.939,259.987,6.218,9,200,14745.6,2371.44,0.84,True,Baseline/Ultra-DSP-MAX/W4A4/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/Ultra-DSP-MAX/W4A4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/Ultra-DSP-MAX/W4A4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W5A5,UDP,4096,4096,150846,60949,150.846,60.949,4.814,4,200,6553.6,1361.36,0.304,True,Baseline/UDP-general/INT5_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/UDP-general/INT5_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/UDP-general/INT5_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W5A5,Ultra-DSP,4096,4096,172119,119544,172.119,119.544,5.281,6,200,9830.4,1861.47,0.724,True,Baseline/Ultra-DSP-MAX/W5A5/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/Ultra-DSP-MAX/W5A5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/Ultra-DSP-MAX/W5A5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A3,UDP,4096,4096,131559,61930,131.559,61.93,4.794,6,200,9830.4,2050.56,0.308,True,Baseline/UDP-general/INT3_INT4/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/UDP-general/INT3_INT4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/UDP-general/INT3_INT4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A3,Ultra-DSP,4096,4096,273396,321957,273.396,321.957,6.627,12,200,19660.8,2966.77,0.527,True,Baseline/Ultra-DSP-MAX/W3A4/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/Ultra-DSP-MAX/W3A4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/Ultra-DSP-MAX/W3A4/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A5,UDP,4096,4096,119128,62976,119.128,62.976,4.782,4,200,6553.6,1370.47,0.418,True,Baseline/UDP-general/INT4_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/UDP-general/INT4_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/UDP-general/INT4_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W4A5,Ultra-DSP,4096,4096,253550,234643,253.55,234.643,6.064,8,200,13107.2,2161.48,0.678,True,Baseline/Ultra-DSP-MAX/W4A5/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/Ultra-DSP-MAX/W4A5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/Ultra-DSP-MAX/W4A5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
W5A3,UDP,4096,4096,153194,58646,153.194,58.646,4.832,6,200,9830.4,2034.44,0.311,True,Baseline/UDP-general/INT3_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,Baseline/UDP-general/INT3_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_power_routed.rpt,Baseline/UDP-general/INT3_INT5/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
