shape,domain,timestamp_epoch_s,relative_to_measure_start_s,power_W,inside_measurement_window
1x2048x2048,PKG,1784547983.350219,-4.119408,67.322421,0
1x2048x2048,PKG,1784547984.353442,-3.116185,72.515518,0
1x2048x2048,PKG,1784547985.357295,-2.112333,76.002164,0
1x2048x2048,PKG,1784547986.361388,-1.108239,73.463210,0
1x2048x2048,PKG,1784547987.365962,-0.103665,74.690384,0
1x2048x2048,PKG,1784547988.371425,0.901798,70.174986,1
1x2048x2048,PKG,1784547989.376109,1.906482,71.189713,1
1x2048x2048,PKG,1784547990.390811,2.921184,73.253222,1
1x2048x2048,PKG,1784547991.405969,3.936342,66.508762,1
1x2048x2048,PKG,1784547992.421532,4.951905,67.266050,1
1x2048x2048,PKG,1784547993.431308,5.961680,69.985183,1
1x2048x2048,PKG,1784547994.436134,6.966507,77.692188,1
1x2048x2048,PKG,1784547995.446602,7.976974,73.522878,1
1x2048x2048,PKG,1784547996.455065,8.985438,74.644793,1
1x2048x2048,PKG,1784547997.462081,9.992454,75.932114,1
1x2048x2048,PKG,1784547998.475818,11.006191,72.721747,1
1x2048x2048,PKG,1784547999.477691,12.008064,70.130737,1
1x2048x2048,PKG,1784548000.491560,13.021933,72.057874,1
1x2048x2048,PKG,1784548001.506433,14.036805,73.582556,1
1x2048x2048,PKG,1784548002.511378,15.041751,72.210028,1
1x2048x2048,PKG,1784548003.518610,16.048983,75.878845,1
1x2048x2048,PKG,1784548004.525997,17.056370,69.734466,1
1x2048x2048,PKG,1784548005.530063,18.060436,75.819996,1
1x2048x2048,PKG,1784548006.537739,19.068112,69.328732,1
1x2048x2048,PKG,1784548007.547719,20.078092,75.578376,1
1x2048x2048,PKG,1784548008.561765,21.092138,74.809755,1
1x2048x2048,PKG,1784548009.566361,22.096734,67.713526,1
1x2048x2048,PKG,1784548010.570433,23.100806,67.477035,1
1x2048x2048,PKG,1784548011.578635,24.109007,70.083805,1
1x2048x2048,PKG,1784548012.580304,25.110677,71.772874,1
1x2048x2048,PKG,1784548013.586863,26.117236,70.013816,1
1x2048x2048,PKG,1784548014.591442,27.121815,66.252444,1
1x2048x2048,PKG,1784548015.599113,28.129486,71.781753,1
1x2048x2048,PKG,1784548016.612897,29.143270,70.459464,1
1x2048x2048,PP0,1784547983.350219,-4.119408,57.561092,0
1x2048x2048,PP0,1784547984.353442,-3.116185,61.570084,0
1x2048x2048,PP0,1784547985.357295,-2.112333,65.585633,0
1x2048x2048,PP0,1784547986.361388,-1.108239,63.016412,0
1x2048x2048,PP0,1784547987.365962,-0.103665,64.235874,0
1x2048x2048,PP0,1784547988.371425,0.901798,59.891745,1
1x2048x2048,PP0,1784547989.376109,1.906482,61.661004,1
1x2048x2048,PP0,1784547990.390811,2.921184,62.237812,1
1x2048x2048,PP0,1784547991.405969,3.936342,56.138668,1
1x2048x2048,PP0,1784547992.421532,4.951905,56.917705,1
1x2048x2048,PP0,1784547993.431308,5.961680,59.764648,1
1x2048x2048,PP0,1784547994.436134,6.966507,67.501816,1
1x2048x2048,PP0,1784547995.446602,7.976974,63.256001,1
