format,format_label,product_kind,design,top_module,rtl_file,product_width,nx,ny,products_per_dsp,products_per_cycle,UDP_packing_same_width,x_pos,y_pos,result_starts,max_result_overlap,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp,LUT_per_product,FF_per_product,matched_one_product_dsp_LUT,matched_one_product_dsp_FF,matched_one_product_dsp_DSP,LUT_saving_vs_matched_one_product_dsp_pct,FF_saving_vs_matched_one_product_dsp_pct,same_throughput_lut_baseline_LUT,same_throughput_lut_baseline_FF,LUT_saving_vs_same_throughput_lut_pct,FF_saving_vs_same_throughput_lut_pct,report
FP4_E2M1,FP4 E2M1 mag1,decoded_mantissa_mag,NoPackingScalar,FP4_E2M1_NoPackingScalar,rtl/FP4_E2M1_NoPackingScalar.v,1,1,1,1,1,NAN,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,1,,,18.00,0.00,100.00,,results/table8/vivado_resource/FP4_E2M1_NoPackingScalar_utilization_synth.rpt
FP4_E2M1,FP4 E2M1 mag1,decoded_mantissa_mag,NormalNonOverlap,FP4_E2M1_NormalNonOverlap,rtl/FP4_E2M1_NormalNonOverlap.v,1,2,9,18,18,NAN,0 25,0 2 4 6 8 10 12 14 16,0 2 4 6 8 10 12 14 16 25 27 29 31 33 35 37 39 41,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,18,,,18.00,0.00,100.00,,results/table8/vivado_resource/FP4_E2M1_NormalNonOverlap_utilization_synth.rpt
FP4_E2M1,FP4 E2M1 mag1,decoded_mantissa_mag,UltraDSP-Packing,FP4_E2M1_UltraDSP_Packing,rtl/FP4_E2M1_UltraDSP_Packing.v,1,3,12,36,36,NAN,0 13 25,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36,1,17,17,0,102,1,0.4722,2.8333,0.00,0.00,36,,,18.00,0.00,5.56,,results/table8/vivado_resource/FP4_E2M1_UltraDSP_Packing_utilization_synth.rpt
FP4_E2M1,FP4 E2M1 mag1,decoded_mantissa_mag,NoDSP_LUTParallel,FP4_E2M1_NoDSP_LUTParallel,rtl/FP4_E2M1_NoDSP_LUTParallel.v,1,3,12,36,36,NAN,0 13 25,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36,0,18,18,0,0,0,0.5000,0.0000,0.00,0.00,36,,,18.00,0.00,0.00,,results/table8/vivado_resource/FP4_E2M1_NoDSP_LUTParallel_utilization_synth.rpt
FP4_E1M2,FP4 E1M2 mag2,decoded_mantissa_mag,NoPackingScalar,FP4_E1M2_NoPackingScalar,rtl/FP4_E1M2_NoPackingScalar.v,2,1,1,1,1,12,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,1,,,36.00,0.00,100.00,,results/table8/vivado_resource/FP4_E1M2_NoPackingScalar_utilization_synth.rpt
FP4_E1M2,FP4 E1M2 mag2,decoded_mantissa_mag,NormalNonOverlap,FP4_E1M2_NormalNonOverlap,rtl/FP4_E1M2_NormalNonOverlap.v,2,3,3,9,9,12,0 12 24,0 4 8,0 4 8 12 16 20 24 28 32,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,9,,,36.00,0.00,100.00,,results/table8/vivado_resource/FP4_E1M2_NormalNonOverlap_utilization_synth.rpt
FP4_E1M2,FP4 E1M2 mag2,decoded_mantissa_mag,UltraDSP-Packing,FP4_E1M2_UltraDSP_Packing,rtl/FP4_E1M2_UltraDSP_Packing.v,2,3,6,18,18,12,0 12 24,0 2 4 6 8 10,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34,2,17,17,0,102,1,0.9444,5.6667,0.00,0.00,18,,,36.00,0.00,52.78,,results/table8/vivado_resource/FP4_E1M2_UltraDSP_Packing_utilization_synth.rpt
FP4_E1M2,FP4 E1M2 mag2,decoded_mantissa_mag,NoDSP_LUTParallel,FP4_E1M2_NoDSP_LUTParallel,rtl/FP4_E1M2_NoDSP_LUTParallel.v,2,3,6,18,18,12,0 12 24,0 2 4 6 8 10,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34,0,36,36,0,0,0,2.0000,0.0000,0.00,0.00,18,,,36.00,0.00,0.00,,results/table8/vivado_resource/FP4_E1M2_NoDSP_LUTParallel_utilization_synth.rpt
FP8_E4M3,FP8 E4M3 mag3,decoded_mantissa_mag,NoPackingScalar,FP8_E4M3_NoPackingScalar,rtl/FP8_E4M3_NoPackingScalar.v,3,1,1,1,1,8,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,1,,,50.00,0.00,100.00,,results/table8/vivado_resource/FP8_E4M3_NoPackingScalar_utilization_synth.rpt
FP8_E4M3,FP8 E4M3 mag3,decoded_mantissa_mag,NormalNonOverlap,FP8_E4M3_NormalNonOverlap,rtl/FP8_E4M3_NormalNonOverlap.v,3,2,3,6,6,8,0 23,0 7 14,0 7 14 23 30 37,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,6,,,50.00,0.00,100.00,,results/table8/vivado_resource/FP8_E4M3_NormalNonOverlap_utilization_synth.rpt
FP8_E4M3,FP8 E4M3 mag3,decoded_mantissa_mag,UltraDSP-Packing,FP8_E4M3_UltraDSP_Packing,rtl/FP8_E4M3_UltraDSP_Packing.v,3,2,5,10,10,8,0 23,0 4 8 11 14,0 4 8 11 14 23 27 31 34 37,3,16,16,0,60,1,1.6000,6.0000,0.00,0.00,10,,,50.00,0.00,68.00,,results/table8/vivado_resource/FP8_E4M3_UltraDSP_Packing_utilization_synth.rpt
FP8_E4M3,FP8 E4M3 mag3,decoded_mantissa_mag,NoDSP_LUTParallel,FP8_E4M3_NoDSP_LUTParallel,rtl/FP8_E4M3_NoDSP_LUTParallel.v,3,2,5,10,10,8,0 23,0 4 8 11 14,0 4 8 11 14 23 27 31 34 37,0,50,50,0,0,0,5.0000,0.0000,0.00,0.00,10,,,50.00,0.00,0.00,,results/table8/vivado_resource/FP8_E4M3_NoDSP_LUTParallel_utilization_synth.rpt
FP8_E5M2,FP8 E5M2 mag2,decoded_mantissa_mag,NoPackingScalar,FP8_E5M2_NoPackingScalar,rtl/FP8_E5M2_NoPackingScalar.v,2,1,1,1,1,12,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,1,,,36.00,0.00,100.00,,results/table8/vivado_resource/FP8_E5M2_NoPackingScalar_utilization_synth.rpt
FP8_E5M2,FP8 E5M2 mag2,decoded_mantissa_mag,NormalNonOverlap,FP8_E5M2_NormalNonOverlap,rtl/FP8_E5M2_NormalNonOverlap.v,2,3,3,9,9,12,0 12 24,0 4 8,0 4 8 12 16 20 24 28 32,0,0,0,0,0,1,0.0000,0.0000,0.00,0.00,9,,,36.00,0.00,100.00,,results/table8/vivado_resource/FP8_E5M2_NormalNonOverlap_utilization_synth.rpt
FP8_E5M2,FP8 E5M2 mag2,decoded_mantissa_mag,UltraDSP-Packing,FP8_E5M2_UltraDSP_Packing,rtl/FP8_E5M2_UltraDSP_Packing.v,2,3,6,18,18,12,0 12 24,0 2 4 6 8 10,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34,2,17,17,0,102,1,0.9444,5.6667,0.00,0.00,18,,,36.00,0.00,52.78,,results/table8/vivado_resource/FP8_E5M2_UltraDSP_Packing_utilization_synth.rpt
