top_module,format,design,pair_cases,pair_errors,random_batches,random_output_checks,random_errors,max_abs_err
FP4_E2M1_NoPackingScalar,FP4_E2M1,NoPackingScalar,4,0,4096,4096,0,0
FP4_E2M1_NormalNonOverlap,FP4_E2M1,NormalNonOverlap,72,0,4096,73728,0,0
FP4_E2M1_UltraDSP_Packing,FP4_E2M1,UltraDSP-Packing,144,0,4096,147456,0,0
FP4_E2M1_NoDSP_LUTParallel,FP4_E2M1,NoDSP_LUTParallel,144,0,4096,147456,0,0
FP4_E1M2_NoPackingScalar,FP4_E1M2,NoPackingScalar,16,0,4096,4096,0,0
FP4_E1M2_NormalNonOverlap,FP4_E1M2,NormalNonOverlap,144,0,4096,36864,0,0
FP4_E1M2_UltraDSP_Packing,FP4_E1M2,UltraDSP-Packing,288,0,4096,73728,0,0
FP4_E1M2_NoDSP_LUTParallel,FP4_E1M2,NoDSP_LUTParallel,288,0,4096,73728,0,0
FP8_E4M3_NoPackingScalar,FP8_E4M3,NoPackingScalar,64,0,4096,4096,0,0
FP8_E4M3_NormalNonOverlap,FP8_E4M3,NormalNonOverlap,384,0,4096,24576,0,0
FP8_E4M3_UltraDSP_Packing,FP8_E4M3,UltraDSP-Packing,640,0,4096,40960,0,0
FP8_E4M3_NoDSP_LUTParallel,FP8_E4M3,NoDSP_LUTParallel,640,0,4096,40960,0,0
FP8_E5M2_NoPackingScalar,FP8_E5M2,NoPackingScalar,16,0,4096,4096,0,0
FP8_E5M2_NormalNonOverlap,FP8_E5M2,NormalNonOverlap,144,0,4096,36864,0,0
FP8_E5M2_UltraDSP_Packing,FP8_E5M2,UltraDSP-Packing,288,0,4096,73728,0,0
FP8_E5M2_NoDSP_LUTParallel,FP8_E5M2,NoDSP_LUTParallel,288,0,4096,73728,0,0
FP8_E3M4_NoPackingScalar,FP8_E3M4,NoPackingScalar,256,0,4096,4096,0,0
FP8_E3M4_NormalNonOverlap,FP8_E3M4,NormalNonOverlap,1024,0,4096,16384,0,0
FP8_E3M4_UltraDSP_Packing,FP8_E3M4,UltraDSP-Packing,1536,0,4096,24576,0,0
FP8_E3M4_NoDSP_LUTParallel,FP8_E3M4,NoDSP_LUTParallel,1536,0,4096,24576,0,0
FP8_E2M5_NoPackingScalar,FP8_E2M5,NoPackingScalar,1024,0,4096,4096,0,0
FP8_E2M5_NormalNonOverlap,FP8_E2M5,NormalNonOverlap,4096,0,4096,16384,0,0
FP8_E2M5_UltraDSP_Packing,FP8_E2M5,UltraDSP-Packing,4096,0,4096,16384,0,0
FP8_E2M5_NoDSP_LUTParallel,FP8_E2M5,NoDSP_LUTParallel,4096,0,4096,16384,0,0
FP10_E4M5_NoPackingScalar,FP10_E4M5,NoPackingScalar,1024,0,4096,4096,0,0
FP10_E4M5_NormalNonOverlap,FP10_E4M5,NormalNonOverlap,4096,0,4096,16384,0,0
FP10_E4M5_UltraDSP_Packing,FP10_E4M5,UltraDSP-Packing,4096,0,4096,16384,0,0
FP10_E4M5_NoDSP_LUTParallel,FP10_E4M5,NoDSP_LUTParallel,4096,0,4096,16384,0,0
MXFP4_E2M1_MAG1_NoPackingScalar,MXFP4_E2M1_MAG1,NoPackingScalar,4,0,4096,4096,0,0
MXFP4_E2M1_MAG1_NormalNonOverlap,MXFP4_E2M1_MAG1,NormalNonOverlap,72,0,4096,73728,0,0
MXFP4_E2M1_MAG1_UltraDSP_Packing,MXFP4_E2M1_MAG1,UltraDSP-Packing,144,0,4096,147456,0,0
MXFP4_E2M1_MAG1_NoDSP_LUTParallel,MXFP4_E2M1_MAG1,NoDSP_LUTParallel,144,0,4096,147456,0,0
